"Commodity code","Commodity","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"29012920","Acetylene","4333","Kilogram","0","?","419,601",
"29012990","Unsaturated acyclic hydrocarbons, nes","14198093","Kilogram","0","?","17,715,334",
"29021100","Cyclohexane","383","Kilogram","0","?","10,451",
