"Date of data","Trading partner code","Trading partner","Commodity code","Commodity","Customs Regime code","Customs Regime","Locations of importers and exporters code","Locations of importers and exporters","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"202601","110","Hong Kong，China","29012920","Acetylene","10","Ordinary Trade","44","Guangdong Province","81782","Kilogram","0","?","315,286",
"202601","121","Macao,China","29012920","Acetylene","10","Ordinary Trade","44","Guangdong Province","5800","Kilogram","0","?","28,579",
"202601","133","Republic of Korea","29012920","Acetylene","10","Ordinary Trade","31","Shanghai Province","3574","Kilogram","0","?","199,307",
"202601","143","Taiwan，China","29012920","Acetylene","15","Processing with Imported Materials","61","Shaanxi Province","1248","Kilogram","0","?","234,351",
"202601","412","Chile","29012920","Acetylene","10","Ordinary Trade","37","Shandong Province","1725","Kilogram","0","?","4,137",
