"贸易方式编码","贸易方式名称",
10,一般贸易,
11,国家间、国际组织无偿援助和赠送的物资,
12,其他捐赠物资,
13,补偿贸易,
14,来料加工贸易,
15,进料加工贸易,
16,寄售、代销贸易,
19,边境小额贸易,
20,加工贸易进口设备,
22,对外承包工程出口货物,
23,租赁贸易,
25,外商投资企业作为投资进口的设备、物品,
27,出料加工贸易,
30,易货贸易,
31,免税外汇商品,
33,保税监管场所进出境货物,
34,海关特殊监管区域物流货物,
35,海关特殊监管区域进口设备,
39,其他,
41,免税品,
