"Date of data","Commodity code","Commodity","Trading partner code","Trading partner","Customs Regime code","Customs Regime","Locations of importers and exporters code","Locations of importers and exporters","Quantity","Unit","Supplementary Quantity","Supplementary Unit","US dollar",
"202603","29012990","Unsaturated acyclic hydrocarbons, nes","501","Canada","10","Ordinary Trade","31","Shanghai Province","170000","Kilogram","0","?","176,779",
"202603","29012990","Unsaturated acyclic hydrocarbons, nes","501","Canada","15","Processing with Imported Materials","33","Zhejiang Province","16500","Kilogram","0","?","37,125",
"202603","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","10","Ordinary Trade","12","Tianjin","300000","Kilogram","0","?","368,000",
"202603","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","10","Ordinary Trade","31","Shanghai Province","537011","Kilogram","0","?","670,477",
"202603","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","10","Ordinary Trade","32","Jiangsu Province","0","Kilogram","0","?","591",
"202603","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","10","Ordinary Trade","33","Zhejiang Province","1842718","Kilogram","0","?","2,190,477",
"202603","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","10","Ordinary Trade","43","Hunan Province","1453786","Kilogram","0","?","1,720,712",
"202603","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","10","Ordinary Trade","44","Guangdong Province","7","Kilogram","0","?","6,981",
"202603","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","10","Ordinary Trade","46","Hainan Province","150200","Kilogram","0","?","187,132",
"202603","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","10","Ordinary Trade","51","Sichuan Province","623220","Kilogram","0","?","764,466",
"202603","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","15","Processing with Imported Materials","31","Shanghai Province","233708","Kilogram","0","?","286,675",
"202603","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","15","Processing with Imported Materials","37","Shandong Province","233632","Kilogram","0","?","286,581",
"202603","29012990","Unsaturated acyclic hydrocarbons, nes","502","United States","39","Other","32","Jiangsu Province","0","Kilogram","0","?","100",
"202603","29012990","Unsaturated acyclic hydrocarbons, nes","601","Australia","34","Entrepot Trade by Bonded Area","31","Shanghai Province","7202","Kilogram","0","?","126,028",
"202603","29021100","Cyclohexane","116","Japan","10","Ordinary Trade","21","Liaoning Province","48000","Kilogram","0","?","62,003",
"202603","29021100","Cyclohexane","116","Japan","10","Ordinary Trade","31","Shanghai Province","11","Kilogram","0","?","236",
"202603","29021100","Cyclohexane","122","Malaysia","10","Ordinary Trade","34","Anhui Province","561","Kilogram","0","?","3,132",
"202603","29021100","Cyclohexane","131","Saudi Arabia","10","Ordinary Trade","31","Shanghai Province","2","Kilogram","0","?","54",
"202603","29021100","Cyclohexane","133","Republic of Korea","10","Ordinary Trade","21","Liaoning Province","128500","Kilogram","0","?","113,633",
"202603","29021100","Cyclohexane","133","Republic of Korea","10","Ordinary Trade","37","Shandong Province","108000","Kilogram","0","?","84,720",
"202603","29021100","Cyclohexane","141","Viet Nam","10","Ordinary Trade","32","Jiangsu Province","52500","Kilogram","0","?","51,050",
"202603","29021100","Cyclohexane","141","Viet Nam","10","Ordinary Trade","37","Shandong Province","72000","Kilogram","0","?","66,320",
"202603","29021100","Cyclohexane","143","Taiwan£¬China","10","Ordinary Trade","34","Anhui Province","125","Kilogram","0","?","1,569",
"202603","29021100","Cyclohexane","249","Tunisia","10","Ordinary Trade","12","Tianjin","12000","Kilogram","0","?","10,540",
"202603","29021100","Cyclohexane","301","Belgium","10","Ordinary Trade","31","Shanghai Province","5","Kilogram","0","?","164",
"202603","29021100","Cyclohexane","304","Germany","10","Ordinary Trade","31","Shanghai Province","2","Kilogram","0","?","173",
"202603","29021100","Cyclohexane","312","Spain","10","Ordinary Trade","33","Zhejiang Province","150","Kilogram","0","?","5,499",
"202603","29021100","Cyclohexane","402","Argentina","10","Ordinary Trade","21","Liaoning Province","450","Kilogram","0","?","1,518",
"202603","29021100","Cyclohexane","412","Chile","10","Ordinary Trade","37","Shandong Province","24000","Kilogram","0","?","18,960",
"202603","29021100","Cyclohexane","413","Colombia","10","Ordinary Trade","37","Shandong Province","24000","Kilogram","0","?","19,104",
"202603","29021100","Cyclohexane","429","Mexico","10","Ordinary Trade","21","Liaoning Province","72000","Kilogram","0","?","65,601",
"202603","29021100","Cyclohexane","502","United States","10","Ordinary Trade","31","Shanghai Province","1027","Kilogram","0","?","23,227",
"202603","29021100","Cyclohexane","601","Australia","10","Ordinary Trade","41","Henan Province","12000","Kilogram","0","?","12,670",
