"CODES","DESCRIPTION","YEAR","UNIT_1_CODES","UNIT_1_DESCRIPTION","UNIT_2_CODES","UNIT_2_DESCRIPTION",
02011000,"Fresh or chilled bovine carcasses&half carcasses",2021,09,"Kilogram",?,"?",
02012000,"Fresh or chilled unboned bovine meat ( excl. carcasses)",2021,09,"Kilogram",?,"?",
02013000,"Fresh or chilled boneless bovine meat",2021,09,"Kilogram",?,"?",
02021000,"Frozen bovine carcasses&half carcasses",2021,09,"Kilogram",?,"?",
02022000,"Frozen unboned bovine meat (excl. carcasses)",2021,09,"Kilogram",?,"?",
02023000,"Frozen boneless bovine meat",2021,09,"Kilogram",?,"?",
02031110,"Fresh or chilled carcasses&half carcasses of sucking pig",2021,09,"Kilogram",?,"?",
02031190,"Fresh or chilled swine carcasses&half carcasses, nes",2021,09,"Kilogram",?,"?",
02031200,"Fresh or chilled unboned hams, shoulders&cuts thereof of swine",2021,09,"Kilogram",?,"?",
02031900,"Other fresh or chilled swine meat",2021,09,"Kilogram",?,"?",
02032110,"Frozen carcasses&half carcasses of sucking pig",2021,09,"Kilogram",?,"?",
02032190,"Frozen swine carcasses&half carcasses, nes",2021,09,"Kilogram",?,"?",
02032200,"Frozen unboned hams, shoulders&cuts thereof of swine",2021,09,"Kilogram",?,"?",
02032900,"Other frozen swine meat",2021,09,"Kilogram",?,"?",
02041000,"Fresh or chilled lamb carcasses&half carcasses",2021,09,"Kilogram",?,"?",
02042100,"Fresh or chilled sheep carcasses&half carcasses (excl. lamb)",2021,09,"Kilogram",?,"?",
02042200,"Fresh or chilled unboned meat of sheep",2021,09,"Kilogram",?,"?",
02042300,"Fresh or chilled boneless meat of sheep",2021,09,"Kilogram",?,"?",
02043000,"Frozen lamb carcasses&half carcasses",2021,09,"Kilogram",?,"?",
02044100,"Frozen sheep carcasses&half carcasses (excl.lamb)",2021,09,"Kilogram",?,"?",
02044200,"Frozen unboned meat of sheep",2021,09,"Kilogram",?,"?",
02044300,"Frozen boneless meat of sheep",2021,09,"Kilogram",?,"?",
02045000,"Fresh, chilled or frozen goat meat",2021,09,"Kilogram",?,"?",
02050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",2021,09,"Kilogram",?,"?",
02061000,"Fresh or chilled edible bovine offal",2021,09,"Kilogram",?,"?",
02062100,"Frozen bovine tongues",2021,09,"Kilogram",?,"?",
